14.5	158.2
14.1	158.2
15.2	158.2
14.7	158.2
14.4	155.7
15.9	155.7
14.2	153.4
16.2	151.1
14.1	151.1
14.8	151.1
15.9	151.1
15.2	151.1
15.0	153.4
15.2	155.7
15.3	155.7
14.2	155.7
16.5	155.7
15.9	155.7
16.8	155.7
13.9	155.7
15.4	155.7
15.9	155.7
15.9	155.7
14.5	155.7
15.7	155.7
14.8	155.7
14.2	155.7
15.2	155.7
15.2	155.7
14.9	155.7
15.1	155.7
15.6	155.7
14.4	155.7
16.6	155.7
15.6	155.7
15.4	153.4
13.8	153.4
15.0	153.4
15.5	151.1
14.5	151.1
14.9	148.8
14.6	148.8
14.3	148.8
14.1	148.8
14.4	148.8
14.2	148.8
14.2	148.8
15.1	148.8
16.2	148.8
14.7	148.8
14.6	148.8
15.2	146.5
15.9	146.5
14.9	146.5
15.0	146.5
16.3	144.2
14.4	144.2
15.0	144.2
16.4	144.2
14.5	144.2
16.8	141.9
15.2	141.9
15.9	139.6
15.8	139.6
15.3	139.6
13.8	139.6
14.1	139.6
14.0	139.6
14.4	139.6
14.2	139.6
14.6	139.6
13.4	139.6
15.5	139.6
14.1	139.6
13.8	139.6
15.3	139.6
14.3	137.3
14.7	137.3
15.0	137.3
15.1	135.0
15.2	135.0
15.8	135.0
15.5	135.0
14.9	135.0
15.6	135.0
14.8	132.7
15.1	132.7
13.7	132.7
15.6	132.7
16.2	130.6
14.7	130.6
14.9	128.4
14.9	128.4
14.1	128.4
15.0	128.4
14.6	128.4
14.5	128.4
14.7	128.4
14.3	128.4
15.5	128.4
15.2	128.4
15.5	128.4
14.4	128.4
16.7	126.3
16.4	126.3
16.3	126.3
16.3	126.3
16.2	126.3
15.0	126.3
14.2	124.2
15.4	124.2
13.7	124.2
15.2	124.2
14.2	124.2
13.6	124.2
14.1	124.2
15.2	124.2
13.7	124.2
15.7	124.2
14.6	124.2
14.4	124.2
14.4	124.2
15.4	124.2
15.6	124.2
13.7	124.2
14.1	122.0
15.3	122.0
16.5	119.9
14.1	119.9
15.4	117.8
14.7	117.8
15.7	117.8
14.7	117.8
14.8	117.8
13.9	117.8
15.6	115.7
15.3	115.7
14.5	115.7
17.2	115.7
14.5	115.7
16.5	115.7
15.5	115.7
14.3	115.7
15.4	115.7
16.1	115.7
15.0	115.7
14.9	115.7
15.7	115.7
14.3	115.7
15.1	115.7
15.7	115.7
17.0	115.7
15.6	115.7
15.6	115.7
14.2	115.7
14.4	115.7
14.6	115.7
13.7	115.7
15.5	115.7
15.3	115.7
15.4	115.7
17.1	115.7
16.2	115.7
13.5	115.7
16.6	115.7
16.2	115.7
15.8	115.7
16.9	115.7
17.4	115.7
14.8	115.7
17.4	115.7
16.2	115.7
22.0	115.7
25.6	115.7
31.2	115.7
34.2	115.7
38.2	115.7
54.4	115.7
78.1	115.7
93.8	115.7
93.0	115.7
104.2	115.7
94.1	115.7
73.1	115.7
85.2	115.7
89.9	115.7
81.5	115.7
105.4	115.7
83.4	115.7
75.6	115.7
92.8	115.7
85.7	115.7
73.6	115.7
67.5	115.7
80.5	115.7
73.4	115.7
97.6	115.7
89.0	115.7
108.1	115.7
83.4	115.7
101.5	115.7
77.6	113.5
98.0	113.5
101.6	113.5
100.2	113.5
82.5	113.5
77.0	113.5
94.3	113.5
97.0	113.5
80.8	113.5
78.1	113.5
86.3	113.5
88.9	113.5
90.3	113.5
93.3	113.5
81.2	113.5
82.2	113.5
91.5	113.5
109.8	113.5
93.4	113.5
90.0	113.5
88.7	113.5
89.4	113.5
80.7	113.5
83.6	113.5
91.1	113.5
85.1	113.5
78.6	113.5
89.6	113.5
95.5	113.5
86.6	113.5
87.5	113.5
78.4	113.5
87.5	113.5
95.5	113.5
95.9	113.5
77.4	113.5
90.4	113.5
85.7	113.5
87.8	113.5
84.6	113.5
93.3	113.5
97.0	113.5
92.3	113.5
102.0	113.5
84.4	113.5
