146.50	0.00	3.00
146.50	0.00	3.00
146.50	0.00	3.00
146.50	0.00	2.00
146.50	0.00	2.00
146.50	0.00	1.00
146.50	0.00	1.00
146.50	0.00	1.00
146.50	0.00	2.00
146.50	0.00	4.00
146.50	0.00	5.00
146.50	0.00	6.00
146.50	0.00	7.00
148.80	0.00	7.00
148.80	0.00	8.00
148.80	0.00	7.00
148.80	0.00	8.00
148.80	0.00	7.00
148.80	0.00	7.00
148.80	0.00	5.00
148.80	0.00	4.00
148.80	0.00	3.00
148.80	0.00	2.00
148.80	0.00	1.00
148.80	0.00	0.00
148.80	0.00	-1.00
148.80	0.00	-1.00
151.10	0.00	-1.00
151.10	0.00	-1.00
151.10	0.00	-2.00
153.40	0.00	-1.00
153.40	0.00	-1.00
153.40	0.00	-1.00
155.70	0.00	0.00
155.70	0.00	6.00
155.70	0.00	8.00
155.70	0.00	12.00
155.70	0.00	12.00
158.16	0.00	14.00
158.16	0.00	15.00
158.16	0.00	15.00
158.16	0.00	14.00
158.16	0.00	13.00
158.16	0.00	11.00
158.16	0.00	10.00
158.16	0.00	9.00
158.16	0.00	8.00
158.16	0.00	6.00
158.16	0.00	5.00
158.16	0.00	4.00
158.16	0.00	4.00
158.16	0.00	3.00
158.16	0.00	3.00
158.16	0.00	2.00
158.16	0.00	1.00
158.16	0.00	2.00
158.16	0.00	4.00
158.16	0.00	6.00
158.16	0.00	10.00
158.16	0.00	12.00
158.16	0.00	14.00
158.16	0.00	14.00
158.16	0.00	16.00
158.16	0.00	16.00
158.16	0.00	16.00
158.16	0.00	15.00
155.70	0.00	14.00
155.70	0.00	13.00
155.70	0.00	11.00
155.70	0.00	10.00
155.70	0.00	9.00
155.70	0.00	9.00
155.70	0.00	8.00
155.70	0.00	8.00
155.70	0.00	7.00
155.70	0.00	7.00
155.70	0.00	6.00
155.70	0.00	6.00
155.70	0.00	5.00
155.70	0.00	5.00
155.70	0.00	6.00
155.70	0.00	8.00
155.70	0.00	9.00
155.70	0.00	10.00
155.70	0.00	10.00
155.70	0.00	11.00
155.70	0.00	12.00
155.70	0.00	12.00
155.70	0.00	12.00
155.70	0.00	12.00
155.70	0.00	11.00
155.70	0.00	10.00
155.70	0.00	8.00
155.70	0.00	7.00
155.70	0.00	6.00
155.70	0.00	4.00
155.70	0.00	4.00
155.70	0.00	3.00
155.70	0.00	2.00
155.70	0.00	2.00
155.70	0.00	1.00
155.70	0.00	0.00
155.70	0.00	0.00
155.70	0.00	0.00
155.70	0.00	1.00
155.70	0.00	4.00
155.70	0.00	9.00
158.16	0.00	12.00
158.16	0.00	15.00
160.62	0.00	17.00
163.09	0.00	17.00
163.09	0.00	17.00
163.09	0.00	17.00
165.55	0.00	16.00
165.55	0.00	15.00
165.55	0.00	14.00
165.55	0.00	12.00
165.55	0.00	11.00
165.55	0.00	10.00
165.55	0.00	8.00
165.55	0.00	7.00
165.55	0.00	5.00
165.55	0.00	4.00
165.55	0.00	3.00
165.55	0.00	2.00
165.55	0.00	1.00
165.55	0.00	0.00
165.55	0.00	1.00
165.55	0.00	4.00
165.55	0.00	8.00
165.55	0.00	12.00
163.09	0.00	15.00
163.09	0.00	17.00
163.09	0.00	18.00
163.09	0.00	18.00
163.09	0.00	19.00
163.09	0.00	18.00
163.09	0.00	18.00
163.09	0.00	17.00
163.09	0.00	15.00
163.09	0.00	14.00
163.09	0.00	14.00
163.09	0.00	10.00
160.62	0.00	9.00
160.62	0.00	7.00
160.62	0.00	6.00
160.62	0.00	5.00
160.62	0.00	4.00
160.62	0.00	3.00
160.62	0.00	2.00
160.62	0.00	1.00
160.62	0.00	2.00
160.62	0.00	5.00
160.62	0.00	9.00
160.62	0.00	13.00
160.62	0.00	16.00
160.62	0.00	19.00
160.62	0.00	20.00
160.62	0.00	22.00
160.62	0.00	22.00
158.16	0.00	22.00
158.16	0.00	22.00
158.16	0.00	21.00
158.16	0.00	19.00
158.16	0.00	15.00
158.16	0.00	13.00
158.16	0.00	11.00
158.16	0.00	10.00
158.16	0.00	9.00
158.16	0.00	8.00
158.16	0.00	6.00
158.16	0.00	6.00
155.70	0.00	5.00
155.70	0.00	4.00
153.40	0.00	4.00
151.10	0.00	4.00
151.10	0.00	7.00
151.10	0.00	11.00
151.10	0.00	15.00
151.10	0.00	19.00
153.40	0.00	21.00
155.70	0.00	23.00
155.70	0.00	24.00
155.70	0.00	25.00
155.70	0.00	24.00
155.70	0.00	24.00
155.70	0.00	23.00
155.70	0.00	20.00
155.70	0.00	17.00
155.70	0.00	16.00
155.70	0.00	14.00
155.70	0.00	12.00
155.70	0.00	11.00
155.70	0.00	9.00
155.70	0.00	8.00
155.70	0.00	7.00
155.70	0.00	6.00
155.70	0.00	5.00
155.70	0.00	4.00
155.70	0.00	5.00
155.70	0.00	8.00
155.70	0.00	12.00
155.70	0.00	16.00
153.40	0.00	21.00
153.40	0.00	23.00
153.40	0.00	25.00
151.10	0.00	26.00
151.10	0.00	26.00
148.80	0.00	26.00
148.80	0.00	25.00
148.80	0.00	24.00
148.80	0.00	22.00
148.80	0.00	18.00
148.80	0.00	16.00
148.80	0.00	15.00
148.80	0.00	13.00
148.80	0.00	11.00
148.80	0.00	10.00
148.80	0.00	9.00
146.50	0.00	7.00
146.50	0.00	6.00
146.50	0.00	6.00
146.50	0.00	5.00
144.21	0.00	5.00
144.21	0.00	8.00
144.21	0.00	12.00
144.21	0.00	17.00
144.21	0.00	21.00
141.91	0.00	23.00
141.91	0.00	24.00
139.61	0.00	26.00
139.61	0.00	26.00
139.61	0.00	25.00
139.61	0.00	25.00
139.61	0.00	24.00
139.61	0.00	22.00
139.61	0.00	19.00
139.61	0.00	17.00
139.61	0.00	15.00
139.61	0.00	13.00
139.61	0.00	11.00
139.61	0.00	10.00
139.61	0.00	9.00
139.61	0.00	8.00
137.31	0.00	7.00
137.31	0.00	6.00
137.31	0.00	5.00
135.01	0.00	5.00
135.01	0.00	9.00
135.01	0.00	12.00
135.01	0.00	17.00
135.01	0.00	22.00
135.01	0.00	25.00
132.71	0.00	25.00
132.71	0.00	27.00
132.71	0.00	27.00
132.71	0.00	27.00
130.58	0.00	26.00
130.58	0.00	25.00
128.45	0.00	23.00
128.45	0.00	19.00
128.45	0.00	17.00
128.45	0.00	15.00
128.45	0.00	15.00
128.45	0.00	13.00
128.45	0.00	11.00
128.45	0.00	10.00
128.45	0.00	9.00
128.45	0.00	9.00
128.45	0.00	8.00
128.45	0.00	8.00
126.31	0.00	8.00
126.31	0.00	9.00
126.31	0.00	13.00
126.31	0.00	16.00
126.31	0.00	21.00
126.31	0.00	21.00
124.18	0.00	22.00
124.18	0.00	23.00
124.18	0.00	23.00
124.18	0.00	23.00
124.18	0.00	22.00
124.18	0.00	20.00
124.18	0.00	19.00
124.18	0.00	18.00
124.18	0.00	17.00
124.18	0.00	15.00
124.18	0.00	13.00
124.18	0.00	11.00
124.18	0.00	10.00
124.18	0.00	9.00
124.18	0.00	8.00
124.18	0.00	7.00
122.05	0.00	6.00
122.05	0.00	5.00
119.92	0.00	7.00
